DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/04 00:00:00+00,2200,1100,900 ACKERMAN AV     ,LARCENY,,From Motor Vehicle,61
2019/01/05 00:00:00+00,1441,1441,1 DESTINY USA DR,LARCENY,,All Other,62
2019/01/05 00:00:00+00,1300,1315,1 DESTINY USA DR,LARCENY,,All Other,63
2019/01/05 00:00:00+00,1933,1937,1 DESTINY USA DR,LARCENY,,Shoplifting,64
2019/01/05 00:00:00+00,1848,1848,100 REDFIELD PL     ,BURGLARY,Yes,All Other,65
2019/01/05 00:00:00+00,1400,1429,100 STEUBEN ST     ,LARCENY,Yes,All Other,66
2019/01/05 00:00:00+00,2100,2100,1000 W  BELDEN AV     ,AGGRAVATED ASSAULT,,N/A,67
2019/01/05 00:00:00+00,0900,0840,1900 BELLEVUE AV     ,BURGLARY,,All Other,68
2019/01/05 00:00:00+00,1930,1930,400 BUTTERNUT ST     ,LARCENY,Yes,From Building,69
2019/01/05 00:00:00+00,1227,2200,400 ROBINEAU RD     ,AGGRAVATED ASSAULT,Yes,N/A,70
2019/01/05 00:00:00+00,1959,1959,400 STOLP AV     ,MV THEFT,,Motor Vehicle,71
2019/01/05 00:00:00+00,2030,1100,4100 E  GENESEE ST     ,LARCENY,,Pocket Picking,72
2019/01/05 00:00:00+00,1500,1500,500 BUTTERNUT ST     ,AGGRAVATED ASSAULT,Yes,N/A,73
2019/01/05 00:00:00+00,1800,1815,500 WESTMORELAND AV     ,MV THEFT,,Motor Vehicle,74
2019/01/05 00:00:00+00,1700,1700,600 TALLMAN ST     ,AGGRAVATED ASSAULT,,N/A,75
2019/01/05 00:00:00+00,1600,1600,700 UNIVERSITY AV     ,LARCENY,,Shoplifting,76
2019/01/05 00:00:00+00,1100,1420,900 JAMES ST     ,BURGLARY,,From Building,77
2019/01/05 00:00:00+00,0242,0242,900 WOLF ST     ,LARCENY,,All Other,78
2019/01/06 00:00:00+00,2154,2148,100 RONEY RD     ,AGGRAVATED ASSAULT,,N/A,79
2019/01/06 00:00:00+00,0300,0300,100 TEMPLE PL     ,AGGRAVATED ASSAULT,,N/A,80
2019/01/06 00:00:00+00,1900,0800,1000 JAMES ST     ,LARCENY,,From Motor Vehicle,81
2019/01/06 00:00:00+00,2200,0900,1100 MADISON ST     ,LARCENY,,From Motor Vehicle,82
2019/01/06 00:00:00+00,0345,0345,1300 S  STATE ST     ,LARCENY,,All Other,83
2019/01/06 00:00:00+00,0600,0600,200 ABERDEEN TER    ,LARCENY,,From Motor Vehicle,84
2019/01/06 00:00:00+00,1300,1300,200 WALNUT PL     ,BURGLARY,,From Building,85
2019/01/06 00:00:00+00,1313,1313,2900 JAMES ST     ,LARCENY,,Shoplifting,86
2019/01/06 00:00:00+00,0430,0430,300 HILLVIEW AV     ,ROBBERY,,All Other,87
2019/01/06 00:00:00+00,1430,1700,300 LIBERTY ST     ,BURGLARY,,From Building,88
2019/01/06 00:00:00+00,2000,1300,300 PARK AV     ,LARCENY,,From Motor Vehicle,89
2019/01/06 00:00:00+00,0316,2212,300 UNIVERSITY AV     ,MV THEFT,,Motor Vehicle,90
2019/01/06 00:00:00+00,2100,2230,800 WESTMORELAND AV     ,LARCENY,,From Motor Vehicle,91
2019/01/07 00:00:00+00,1215,1215,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,92
2019/01/07 00:00:00+00,1945,2030,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,93
2019/01/07 00:00:00+00,1645,1853,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,94
2019/01/07 00:00:00+00,1805,0805,100 BENNINGTON DR     ,LARCENY,,All Other,95
2019/01/07 00:00:00+00,1213,1213,1600 ERIE BLVD E ,LARCENY,,From Motor Vehicle,96
2019/01/07 00:00:00+00,1835,1835,200 COMSTOCK AV     ,LARCENY,,From Motor Vehicle,97
2019/01/07 00:00:00+00,1158,1158,2500 ERIE BLVD E ,LARCENY,Yes,Shoplifting,98
