DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,Arrest,LarcenyCode,FID
2017/04/02 04:00:00+00,1728,1728,1 DESTINY USA DR,LARCENY, ,,All Other,64
2017/01/04 05:00:00+00,836,836,400 WYOMING ST     ,LARCENY, ,Yes,All Other,65
2017/04/02 04:00:00+00,2316,2316,600 SEDGWICK DR     ,LARCENY, ,,All Other,66
2017/01/05 05:00:00+00,2000,3,300 OAK ST     ,LARCENY, ,,All Other,67
2017/04/02 04:00:00+00,1200,1600,500 COURT ST     ,LARCENY, ,,All Other,68
2017/01/05 05:00:00+00,924,924,500 S  CLINTON ST     ,LARCENY, ,,All Other,69
2017/04/03 04:00:00+00,143,143,500 DURSTON AV     ,BURGLARY, ,,All Other,70
2017/01/05 05:00:00+00,1100,1100,900 GLENWOOD AV     ,LARCENY, ,,All Other,71
2017/04/03 04:00:00+00,143,143,500 DURSTON AV     ,BURGLARY,A,,All Other,72
2017/01/05 05:00:00+00,2000,1219,800 N  TOWNSEND AV     ,LARCENY, ,,All Other,73
2017/04/03 04:00:00+00,1558,1558,500 S  WEST ST     ,LARCENY, ,Yes,All Other,74
2017/01/05 05:00:00+00,1514,1540,700 E  LAUREL ST     ,LARCENY, ,,All Other,75
2017/04/03 04:00:00+00,1733,1733,100 LYNN CIR    ,LARCENY, ,,All Other,76
2017/01/06 05:00:00+00,2200,550,1800 BURNET AV     ,LARCENY, ,,All Other,77
2017/04/03 04:00:00+00,1500,1630,0 CHILDRENS CIR    ,LARCENY, ,,All Other,78
2017/01/06 05:00:00+00,635,635,100 E  JEFFERSON ST     ,ROBBERY, ,,All Other,79
2017/04/04 04:00:00+00,907,907,500 ERIE BLVD W ,LARCENY, ,,All Other,80
2017/01/06 05:00:00+00,30,900,100 WALTON ST     ,LARCENY, ,,All Other,81
2017/04/04 04:00:00+00,1428,1428,300 COURT ST     ,ROBBERY, ,Yes,All Other,82
2017/01/06 05:00:00+00,2115,2115,0 PARK AND LAKEVIEW AV     ,ROBBERY,A,Yes,All Other,83
2017/04/04 04:00:00+00,1559,1559,600 ROBINSON ST     ,LARCENY, ,,All Other,84
2017/01/07 05:00:00+00,1315,1500,2600 ERIE BLVD E ,LARCENY, ,,All Other,85
2017/04/05 04:00:00+00,200,643,700 JAMES ST     ,LARCENY, ,,All Other,86
2017/01/07 05:00:00+00,1900,1912,200 LAKEVIEW AV     ,BURGLARY, ,,All Other,87
2017/04/05 04:00:00+00,600,600,4700 ONONDAGA BLVD   ,LARCENY, ,,All Other,88
2017/01/08 05:00:00+00,1300,1320,2500 ERIE BLVD E ,LARCENY, ,,All Other,89
2017/04/05 04:00:00+00,1540,1550,1400 S  SALINA ST     ,LARCENY, ,Yes,All Other,90
2017/01/08 05:00:00+00,1458,1458,500 BUTTERNUT ST     ,LARCENY, ,Yes,All Other,91
2017/04/06 04:00:00+00,748,820,300 PROSPECT AV     ,LARCENY, ,,All Other,92
2017/01/08 05:00:00+00,1730,1730,100 COMSTOCK AV     ,LARCENY, ,,All Other,93
2017/04/06 04:00:00+00,1233,1233,1 DESTINY USA DR,LARCENY, ,,All Other,94
2017/01/09 05:00:00+00,1200,700,500 SOLAR ST     ,LARCENY, ,,All Other,95
2017/04/06 04:00:00+00,2043,2043,700 JAMES ST     ,BURGLARY, ,,All Other,96
2017/01/09 05:00:00+00,1300,1900,900 JAMES ST     ,BURGLARY, ,,All Other,97
2017/04/06 04:00:00+00,1200,1200,300 STAFFORD AV     ,LARCENY, ,,All Other,98
2017/04/07 04:00:00+00,208,208,100 FERNWOOD AV     ,ROBBERY, ,,All Other,99
2017/04/07 04:00:00+00,208,208,100 FERNWOOD AV     ,ROBBERY,A,,All Other,100
2017/02/23 05:00:00+00,1200,800,100 E  JEFFERSON ST     ,BURGLARY, ,,All Other,101
2017/02/23 05:00:00+00,1645,1020,2000 ERIE BLVD E ,LARCENY, ,,All Other,102
2017/02/24 05:00:00+00,730,730,1000 POND ST     ,ROBBERY, ,Yes,All Other,103
2017/02/24 05:00:00+00,1533,1533,2900 ERIE BLVD   ,LARCENY, ,,All Other,104
2017/02/24 05:00:00+00,1603,1603,800 N  STATE ST     ,LARCENY, ,Yes,All Other,105
2017/02/24 05:00:00+00,1546,1600,400 W  DIVISION ST     ,LARCENY, ,,All Other,106
2017/02/25 05:00:00+00,818,818,300 VILLAGE DR     ,LARCENY, ,Yes,All Other,107
2017/02/25 05:00:00+00,1936,1944,400 JAMES ST     ,ROBBERY, ,,All Other,108
2017/02/25 05:00:00+00,2046,2046,1 DESTINY USA DR,LARCENY, ,,All Other,109
2017/02/25 05:00:00+00,2006,2006,1 DESTINY USA DR,LARCENY, ,,All Other,110
2017/02/27 05:00:00+00,809,809,500 ALLEN ST     ,BURGLARY, ,,All Other,111
2017/02/28 05:00:00+00,1200,1200,1 DESTINY USA DR,LARCENY, ,Yes,All Other,112
2017/02/28 05:00:00+00,1921,1921,0 MERTENS AV     ,LARCENY, ,Yes,All Other,113
2017/03/01 05:00:00+00,1036,1036,800 JAMES ST     ,LARCENY, ,,All Other,114
2017/03/01 05:00:00+00,1240,1240,400 BELLEVUE AV     ,ROBBERY, ,Yes,All Other,115
2017/03/01 05:00:00+00,1253,1253,200 BRATTLE RD     ,LARCENY, ,,All Other,116
2017/03/01 05:00:00+00,1659,1659,300 HARTSON ST     ,LARCENY, ,,All Other,117
2017/03/01 05:00:00+00,2104,2104,1000 IRVING AV     ,LARCENY, ,,All Other,118
2017/03/01 05:00:00+00,1201,1200,0 CORCORAN CT     ,LARCENY, ,,All Other,119
2017/01/23 05:00:00+00,1147,1147,1 DESTINY USA DR,LARCENY, ,,All Other,120
2017/03/02 05:00:00+00,1109,1113,1 DESTINY USA DR,LARCENY, ,,All Other,121
2017/03/02 05:00:00+00,1733,1733,100 ARNTS PL     ,LARCENY, ,,All Other,122
2017/03/02 05:00:00+00,2336,2336,300 HELEN ST     ,LARCENY, ,,All Other,123
2017/03/03 05:00:00+00,1600,1600,400 W  ONONDAGA ST     ,LARCENY, ,,All Other,124
2017/03/03 05:00:00+00,1800,1810,500 WESTCOTT ST     ,LARCENY, ,,All Other,125
2017/03/04 05:00:00+00,339,339,600 S  GEDDES ST     ,AGGRAVATED ASSAULT, ,,All Other,126
2017/03/04 05:00:00+00,1009,1009,900 GLENWOOD AV     ,LARCENY, ,,All Other,127
2017/03/04 05:00:00+00,0,1030,100 WHITE ST     ,LARCENY, ,Yes,All Other,128
2017/03/04 05:00:00+00,1650,1652,100 HERZ ST     ,LARCENY, ,,All Other,129
2017/03/04 05:00:00+00,1825,2100,700 IRVING AV     ,LARCENY, ,,All Other,130
2017/03/05 05:00:00+00,1947,1947,100 WILMORE PL     ,LARCENY, ,,All Other,131
2017/03/05 05:00:00+00,2125,2225,3400 BURNET AV     ,LARCENY, ,,All Other,132
2017/03/06 05:00:00+00,1414,1414,300 CLAIRMONTE AV     ,LARCENY, ,Yes,All Other,133
2017/03/06 05:00:00+00,1530,1530,100 E  KENNEDY ST     ,LARCENY, ,,All Other,134
2017/03/06 05:00:00+00,1050,1050,500 TENNYSON AV     ,LARCENY, ,,All Other,135
2017/03/07 05:00:00+00,358,358,100 VALLEY DR     ,ROBBERY, ,,All Other,136
2017/03/07 05:00:00+00,1225,810,3500 S  SALINA ST     ,LARCENY, ,,All Other,137
2017/03/07 05:00:00+00,1213,1300,1 DESTINY USA DR,LARCENY, ,,All Other,138
2017/03/08 05:00:00+00,2300,700,100 BRIGGS ST     ,BURGLARY, ,,All Other,139
2017/03/08 05:00:00+00,934,934,1000 S  GEDDES ST     ,ROBBERY,A,Yes,All Other,140
2017/03/08 05:00:00+00,0,830,100 PARK AV     ,BURGLARY, ,,All Other,141
2017/03/08 05:00:00+00,1530,1530,400 BUTTERNUT ST     ,LARCENY, ,Yes,All Other,142
2017/03/08 05:00:00+00,1828,1828,2900 ERIE BLVD E ,LARCENY, ,,All Other,143
2017/03/08 05:00:00+00,1910,1910,800 ERIE BLVD W ,LARCENY, ,,All Other,144
2017/03/09 05:00:00+00,1040,1040,100 HUNTLEY ST     ,LARCENY, ,,All Other,145
2017/03/09 05:00:00+00,1437,1437,1400 BURNET AV     ,LARCENY, ,,All Other,146
