X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-8477222.58349516,5314549.95333531,1162,2018/03/30,0430,0455,100 KENMORE AV,BURGLARY,
-8477276.16863468,5323039.20652484,1163,2018/04/30,1200,1200,1000 DANFORTH ST,MV THEFT,
-8475085.31585678,5319958.86072631,1164,2018/03/30,1931,1931,100 OAK ST,LARCENY,
-8474917.32776807,5312871.07532739,1165,2018/03/29,1130,1130,800 E  BRIGHTON AV,LARCENY,
-8476833.84061713,5322737.47800322,1166,2018/04/30,1830,1830,700 FIRST NORTH ST,LARCENY,
-8473631.47106633,5319142.49252554,1167,2018/03/30,1800,2310,200 WESTCOTT ST,LARCENY,
-8476587.88023004,5320653.07528476,1168,2018/04/30,2300,0500,700 N  MCBRIDE ST,MV THEFT,
-8479494.82181608,5318104.42781876,1169,2018/04/30,2218,2218,700 S  GEDDES ST,ROBBERY,
,,1170,2018/03/30,1355,1405,400 SMALL RD,BURGLARY,A
-8471197.78666868,5320221.229937,1171,2018/03/30,1607,1607,2700 ERIE BLVD E,LARCENY,
-8469837.74464305,5318558.17060366,1172,2018/05/01,1144,1144,100 GIFFORD ST,LARCENY,
,,1173,2018/03/31,1652,1652,0 DESTINY USA DR,AGGRAVATED ASSAULT,
,,1174,2018/03/31,0610,0610,0 UNKNOWN,AGGRAVATED ASSAULT,
-8475233.20063275,5318691.94674829,1175,2018/03/30,1900,1841,1000 HARRISON ST,MV THEFT,
-8477835.71612156,5318178.45073581,1176,2018/05/01,2215,2215,400 W  ONONDAGA ST,AGGRAVATED ASSAULT,
-8473310.65055945,5322289.44082057,1177,2018/03/31,1730,1930,100 CLIFTON PL,LARCENY,
-8476211.17507495,5322419.30230646,1178,2018/05/02,1058,1058,1300 BUTTERNUT ST,LARCENY,
-8474845.1179769,5318847.42590362,1179,2018/05/02,1630,2130,200 COMSTOCK AV,BURGLARY,
-8476465.65146896,5317112.02807631,1180,2018/05/02,2219,2219,500 OAKWOOD AV,AGGRAVATED ASSAULT,
-8479269.97836144,5320339.71911181,1181,2018/03/31,1030,1408,1100 W  BELDEN AV,LARCENY,
-8479936.1479166,5319649.43662887,1182,2018/05/02,2149,0245,600 RICHMOND AVE,LARCENY,
-8476159.73456959,5313311.87873787,1183,2018/03/30,1210,1210,4100 S  SALINA ST,LARCENY,A
,,1184,2018/03/31,1730,1730,0 DESTINY USA DR,LARCENY,
